Geographic Area Name (NAME),Population Universe (POPUNI),"Estimate, 0 components of social vulnerability (PRED0_E)","Margin of error, 0 components of social vulnerability (PRED0_M)","Percent, 0 components of social vulnerability (PRED0_PE)","Percent margin of error, 0 components of social vulnerability (PRED0_PM)","Estimate, 1-2 components of social vulnerability (PRED12_E)","Margin of error, 1-2 components of social vulnerability (PRED12_M)","Percent, 1-2 components of social vulnerability (PRED12_PE)","Percent margin of error, 1-2 components of social vulnerability (PRED12_PM)","Estimate, 3+ components of social vulnerability (PRED3_E)","Margin of error, 3+ components of social vulnerability (PRED3_M)","Percent, 3+ components of social vulnerability (PRED3_PE)","Percent margin of error, 3+ components of social vulnerability (PRED3_PM)"
"Montgomery County, Mississippi","9,600","3,385",621,35.26%,6.47%,"3,771",685,39.28%,7.14%,"2,444",640,25.46%,6.67%
"Carroll County, Mississippi","8,980","2,544",620,28.33%,6.90%,"3,745",679,41.70%,7.56%,"2,691",630,29.97%,7.02%
"Telfair County, Georgia","9,442","2,663",618,28.20%,6.55%,"3,951",671,41.84%,7.11%,"2,828",596,29.95%,6.31%
"Lucas County, Iowa","8,742","2,714",618,31.05%,7.07%,"3,809",624,43.57%,7.14%,"2,219",492,25.38%,5.63%
"Keith County, Nebraska","8,100","2,972",618,36.69%,7.63%,"3,537",637,43.67%,7.86%,"1,591",521,19.64%,6.43%
"Atoka County, Oklahoma","12,997","2,868",618,22.07%,4.75%,"6,823",687,52.50%,5.29%,"3,306",598,25.44%,4.60%
"Jones County, North Carolina","9,389","2,233",617,23.78%,6.57%,"3,711",666,39.52%,7.09%,"3,445",588,36.69%,6.26%
"Rusk County, Wisconsin","14,107","4,463",617,31.64%,4.37%,"6,436",635,45.62%,4.50%,"3,208",537,22.74%,3.81%
"Lincoln County, Georgia","7,872","2,267",615,28.80%,7.81%,"3,728",663,47.36%,8.42%,"1,877",584,23.84%,7.42%
"Guthrie County, Iowa","10,718","4,386",615,40.92%,5.74%,"4,613",627,43.04%,5.85%,"1,719",508,16.04%,4.74%
"Big Horn County, Montana","12,625","2,811",615,22.27%,4.87%,"5,745",813,45.50%,6.44%,"4,069",769,32.23%,6.09%
"Graham County, North Carolina","8,043","2,110",615,26.23%,7.65%,"3,803",658,47.28%,8.18%,"2,130",571,26.48%,7.10%
"Live Oak County, Texas","10,084","2,264",615,22.45%,6.10%,"4,961",717,49.20%,7.11%,"2,859",651,28.35%,6.46%
"Lincoln County, Washington","11,730","3,477",615,29.64%,5.24%,"5,110",689,43.56%,5.87%,"3,143",574,26.79%,4.89%
"Winkler County, Texas","7,331","1,781",614,24.29%,8.38%,"3,694",726,50.39%,9.90%,"1,856",638,25.32%,8.70%
"Carbon County, Montana","11,419","3,481",612,30.48%,5.36%,"4,960",663,43.44%,5.81%,"2,978",546,26.08%,4.78%
"Rice County, Kansas","8,877","2,961",611,33.36%,6.88%,"4,163",627,46.90%,7.06%,"1,753",507,19.75%,5.71%
"Oregon County, Missouri","8,710","2,832",611,32.51%,7.01%,"3,552",622,40.78%,7.14%,"2,326",502,26.70%,5.76%
"Marion County, Texas","9,549","2,239",611,23.45%,6.40%,"3,903",692,40.87%,7.25%,"3,407",631,35.68%,6.61%
"Cuming County, Nebraska","8,918","3,912",610,43.87%,6.84%,"2,924",625,32.79%,7.01%,"2,082",501,23.35%,5.62%
"Bullock County, Alabama","8,406","1,843",609,21.92%,7.24%,"3,469",699,41.27%,8.32%,"3,094",672,36.81%,7.99%
"Clinch County, Georgia","6,746","1,297",608,19.23%,9.01%,"2,964",648,43.94%,9.61%,"2,485",560,36.84%,8.30%
"Mercer County, North Dakota","8,300","3,451",608,41.58%,7.33%,"3,356",618,40.43%,7.45%,"1,493",499,17.99%,6.01%
"Grant County, South Dakota","7,552","3,062",607,40.55%,8.04%,"3,188",624,42.21%,8.26%,"1,302",522,17.24%,6.91%
"Desha County, Arkansas","10,479","2,237",606,21.35%,5.78%,"4,419",707,42.17%,6.75%,"3,823",661,36.48%,6.31%
"Marion County, Georgia","7,440","1,696",605,22.80%,8.13%,"3,399",651,45.69%,8.75%,"2,345",564,31.52%,7.58%
"Greensville County, Virginia","7,844","2,171",604,27.68%,7.70%,"2,987",677,38.08%,8.63%,"2,686",621,34.24%,7.92%
"Rock County, Minnesota","9,525","4,013",603,42.13%,6.33%,"3,919",613,41.14%,6.44%,"1,593",499,16.72%,5.24%
"Maries County, Missouri","8,430","2,943",603,34.91%,7.15%,"3,685",608,43.71%,7.21%,"1,802",480,21.38%,5.69%
"Lowndes County, Alabama","9,599","2,551",602,26.58%,6.27%,"2,922",679,30.44%,7.07%,"4,126",649,42.98%,6.76%
"Hancock County, Georgia","7,485","2,192",602,29.29%,8.04%,"2,403",689,32.10%,9.21%,"2,890",650,38.61%,8.68%
"Lancaster County, Virginia","10,841","2,396",602,22.10%,5.55%,"5,219",700,48.14%,6.46%,"3,226",661,29.76%,6.10%
"Aitkin County, Minnesota","16,074","5,053",601,31.44%,3.74%,"6,990",628,43.49%,3.91%,"4,031",544,25.08%,3.38%
"White Pine County, Nevada","8,011","2,933",601,36.61%,7.50%,"3,395",653,42.38%,8.15%,"1,683",534,21.01%,6.67%
"Bradley County, Arkansas","10,059","2,328",600,23.14%,5.96%,"4,262",687,42.37%,6.83%,"3,469",622,34.49%,6.18%
"Walsh County, North Dakota","10,298","4,277",600,41.53%,5.83%,"4,187",620,40.66%,6.02%,"1,834",512,17.81%,4.97%
"Moore County, Tennessee","6,748","2,008",600,29.76%,8.89%,"3,100",630,45.94%,9.34%,"1,640",545,24.30%,8.08%
"Lake County, Colorado","7,276","2,849",598,39.16%,8.22%,"3,407",637,46.83%,8.75%,"1,020",494,14.02%,6.79%
"Nemaha County, Nebraska","6,711","2,362",598,35.20%,8.91%,"2,780",603,41.42%,8.99%,"1,569",476,23.38%,7.09%
"Runnels County, Texas","9,830","2,678",598,27.24%,6.08%,"4,613",692,46.93%,7.04%,"2,539",622,25.83%,6.33%
"Gallatin County, Kentucky","8,792","2,976",597,33.85%,6.79%,"3,726",620,42.38%,7.05%,"2,090",521,23.77%,5.93%
"Marshall County, Kansas","9,925","4,123",596,41.54%,6.01%,"3,726",606,37.54%,6.11%,"2,076",490,20.92%,4.94%
"Lake County, Oregon","7,791","2,369",596,30.41%,7.65%,"3,528",674,45.28%,8.65%,"1,894",564,24.31%,7.24%
"Buffalo County, Wisconsin","13,413","4,942",596,36.84%,4.44%,"6,064",607,45.21%,4.53%,"2,407",497,17.95%,3.71%
"Bracken County, Kentucky","8,426","3,328",595,39.50%,7.06%,"3,338",619,39.62%,7.35%,"1,760",521,20.89%,6.18%
"Duval County, Texas","8,892","1,259",595,14.16%,6.69%,"3,870",744,43.52%,8.37%,"3,763",684,42.32%,7.69%
"Beaver County, Utah","6,873","2,226",595,32.39%,8.66%,"3,103",632,45.15%,9.20%,"1,544",489,22.46%,7.11%
"Marshall County, Illinois","11,682","4,351",594,37.25%,5.08%,"4,774",607,40.87%,5.20%,"2,557",511,21.89%,4.37%
"Livingston County, Kentucky","8,892","2,614",594,29.40%,6.68%,"4,084",627,45.93%,7.05%,"2,194",548,24.67%,6.16%
"St. Clair County, Missouri","9,632","2,911",593,30.22%,6.16%,"4,076",605,42.32%,6.28%,"2,645",492,27.46%,5.11%
"Rolette County, North Dakota","11,722","2,124",591,18.12%,5.04%,"5,920",779,50.50%,6.65%,"3,678",749,31.38%,6.39%
"Monroe County, Iowa","7,494","2,936",590,39.18%,7.87%,"3,427",594,45.73%,7.93%,"1,131",469,15.09%,6.26%
"Kemper County, Mississippi","7,811","2,443",589,31.28%,7.54%,"3,006",670,38.48%,8.58%,"2,362",636,30.24%,8.14%
"Iron County, Michigan","11,719","3,359",588,28.66%,5.02%,"5,051",613,43.10%,5.23%,"3,309",532,28.24%,4.54%
"Ozark County, Missouri","8,970","1,998",588,22.27%,6.56%,"4,206",602,46.89%,6.71%,"2,766",493,30.84%,5.50%
"Lemhi County, Idaho","8,426","2,141",587,25.41%,6.97%,"4,327",646,51.35%,7.67%,"1,958",543,23.24%,6.44%
"Hancock County, Tennessee","6,832","1,922",586,28.13%,8.58%,"2,550",613,37.32%,8.97%,"2,360",530,34.54%,7.76%
"Hamilton County, Illinois","7,911","2,804",584,35.44%,7.38%,"3,625",594,45.82%,7.51%,"1,482",487,18.73%,6.16%
"Love County, Oklahoma","10,274","2,889",584,28.12%,5.68%,"4,986",658,48.53%,6.40%,"2,399",576,23.35%,5.61%
"Houston County, Tennessee","8,362","2,485",584,29.72%,6.98%,"3,998",612,47.81%,7.32%,"1,879",528,22.47%,6.31%
"Price County, Wisconsin","14,097","4,258",584,30.21%,4.14%,"6,614",608,46.92%,4.31%,"3,225",524,22.88%,3.72%
"Choctaw County, Mississippi","8,064","2,548",583,31.60%,7.23%,"3,312",630,41.07%,7.81%,"2,204",574,27.33%,7.12%
"Hughes County, Oklahoma","11,853","3,556",583,30.00%,4.92%,"5,582",651,47.09%,5.49%,"2,715",571,22.91%,4.82%
"Mathews County, Virginia","8,514","2,048",583,24.05%,6.85%,"4,068",635,47.78%,7.46%,"2,398",564,28.17%,6.62%
"Wilcox County, Alabama","9,839","2,241",581,22.78%,5.91%,"4,159",663,42.27%,6.74%,"3,439",637,34.95%,6.47%
"Montgomery County, Arkansas","8,615","2,011",581,23.34%,6.74%,"3,627",648,42.10%,7.52%,"2,977",572,34.56%,6.64%
"Humboldt County, Iowa","9,497","3,428",581,36.10%,6.12%,"4,292",592,45.19%,6.23%,"1,777",473,18.71%,4.98%
"Scott County, Kansas","4,909","1,330",581,27.09%,11.84%,"2,137",597,43.53%,12.16%,"1,442",479,29.37%,9.76%
"Shannon County, Missouri","7,232","2,088",581,28.87%,8.03%,"2,917",590,40.33%,8.16%,"2,227",475,30.79%,6.57%
"DeKalb County, Missouri","9,313","3,536",580,37.97%,6.23%,"4,084",585,43.85%,6.28%,"1,693",470,18.18%,5.05%
"Coleman County, Texas","7,842","1,626",580,20.73%,7.40%,"3,811",658,48.60%,8.39%,"2,405",585,30.67%,7.46%
"Clay County, West Virginia","7,783","2,343",579,30.10%,7.44%,"2,828",604,36.34%,7.76%,"2,612",503,33.56%,6.46%
"Jack County, Texas","8,010","2,340",577,29.21%,7.20%,"4,020",638,50.19%,7.97%,"1,650",543,20.60%,6.78%
"Lexington city, Virginia","4,884","1,590",577,32.56%,11.81%,"1,959",618,40.11%,12.65%,"1,335",534,27.33%,10.93%
"Warren County, Indiana","8,494","3,148",576,37.06%,6.78%,"3,798",583,44.71%,6.86%,"1,548",472,18.22%,5.56%
"Presque Isle County, Michigan","13,263","3,843",576,28.98%,4.34%,"5,621",610,42.38%,4.60%,"3,799",533,28.64%,4.02%
"Claiborne County, Mississippi","7,626","1,572",576,20.61%,7.55%,"3,579",660,46.93%,8.65%,"2,475",632,32.45%,8.29%
"Crook County, Wyoming","7,592","2,843",576,37.45%,7.59%,"3,146",620,41.44%,8.17%,"1,603",498,21.11%,6.56%
"McLean County, Kentucky","9,054","3,323",575,36.70%,6.35%,"3,272",603,36.14%,6.66%,"2,459",521,27.16%,5.75%
"Greene County, Iowa","8,579","3,396",574,39.59%,6.69%,"3,553",587,41.42%,6.84%,"1,630",480,19.00%,5.60%
"Hamilton County, Texas","8,619","2,189",574,25.40%,6.66%,"4,394",644,50.98%,7.47%,"2,036",570,23.62%,6.61%
"Turner County, South Dakota","9,027","3,854",573,42.69%,6.35%,"3,576",578,39.61%,6.40%,"1,597",457,17.69%,5.06%
"Lincoln County, Arkansas","8,998","1,936",572,21.52%,6.36%,"4,565",631,50.73%,7.01%,"2,497",551,27.75%,6.12%
"Cottonwood County, Minnesota","11,307","4,140",571,36.61%,5.05%,"4,678",588,41.37%,5.20%,"2,489",482,22.01%,4.26%
"Renville County, Minnesota","14,313","5,670",570,39.61%,3.98%,"5,641",583,39.41%,4.07%,"3,002",475,20.97%,3.32%
"Carroll County, Missouri","8,391","2,243",570,26.73%,6.79%,"4,173",579,49.73%,6.90%,"1,975",472,23.54%,5.63%
"Haskell County, Oklahoma","11,832","3,081",570,26.04%,4.82%,"6,206",635,52.45%,5.37%,"2,545",553,21.51%,4.67%
"Todd County, South Dakota","9,130","1,389",570,15.21%,6.24%,"4,360",759,47.75%,8.31%,"3,381",726,37.03%,7.95%
"Childress County, Texas","5,534","1,721",570,31.10%,10.30%,"2,463",648,44.51%,11.71%,"1,350",568,24.39%,10.26%
"Dimmit County, Texas","8,124","1,070",570,13.17%,7.02%,"3,506",720,43.16%,8.86%,"3,548",664,43.67%,8.17%
"Benton County, Indiana","8,706","3,773",569,43.34%,6.54%,"3,194",576,36.69%,6.62%,"1,739",461,19.97%,5.30%
"Richardson County, Nebraska","7,672","3,362",569,43.82%,7.42%,"2,656",582,34.62%,7.59%,"1,654",485,21.56%,6.32%
"Wolfe County, Kentucky","6,252","1,956",568,31.29%,9.09%,"2,156",590,34.48%,9.44%,"2,140",504,34.23%,8.06%
"Stillwater County, Montana","9,173","3,832",568,41.77%,6.19%,"3,723",612,40.59%,6.67%,"1,618",497,17.64%,5.42%
"Randolph County, Georgia","5,982","1,327",567,22.18%,9.48%,"2,774",643,46.37%,10.75%,"1,881",595,31.44%,9.95%
"Treutlen County, Georgia","6,003","1,960",567,32.65%,9.45%,"2,702",605,45.01%,10.08%,"1,341",525,22.34%,8.75%
"Catahoula Parish, Louisiana","7,914","1,377",567,17.40%,7.16%,"3,600",634,45.49%,8.01%,"2,937",567,37.11%,7.16%
"Twiggs County, Georgia","7,691","1,723",565,22.40%,7.35%,"3,328",616,43.27%,8.01%,"2,640",555,34.33%,7.22%
"McCormick County, South Carolina","9,281","1,774",565,19.11%,6.09%,"4,382",682,47.21%,7.35%,"3,125",652,33.67%,7.03%
"Fall River County, South Dakota","7,382","1,860",564,25.20%,7.64%,"3,154",598,42.73%,8.10%,"2,368",532,32.08%,7.21%
"Wilkinson County, Georgia","8,695","2,707",563,31.13%,6.47%,"4,017",605,46.20%,6.96%,"1,971",531,22.67%,6.11%
"Lake County, Michigan","11,596","3,086",563,26.61%,4.86%,"5,037",588,43.44%,5.07%,"3,473",509,29.95%,4.39%
"Brown County, Kansas","9,250","3,220",562,34.81%,6.08%,"4,287",577,46.35%,6.24%,"1,743",476,18.84%,5.15%
"Archer County, Texas","9,005","2,304",562,25.59%,6.24%,"4,713",615,52.34%,6.83%,"1,988",523,22.08%,5.81%
"Doddridge County, West Virginia","6,565","2,498",562,38.05%,8.56%,"2,663",588,40.56%,8.96%,"1,404",489,21.39%,7.45%
"Buena Vista city, Virginia","6,082","1,628",561,26.77%,9.22%,"3,040",586,49.98%,9.63%,"1,414",490,23.25%,8.06%
"Terrell County, Georgia","8,485","2,559",559,30.16%,6.59%,"3,606",630,42.50%,7.42%,"2,320",581,27.34%,6.85%
"Wilson County, Kansas","8,339","3,023",559,36.25%,6.70%,"3,748",570,44.95%,6.84%,"1,568",458,18.80%,5.49%
"Swift County, Minnesota","9,704","3,850",558,39.67%,5.75%,"3,660",573,37.72%,5.90%,"2,194",482,22.61%,4.97%
"Butler County, Nebraska","8,437","3,035",558,35.97%,6.61%,"3,866",565,45.82%,6.70%,"1,536",452,18.21%,5.36%
"Prairie County, Arkansas","7,999","2,836",557,35.45%,6.96%,"2,870",613,35.88%,7.66%,"2,293",537,28.67%,6.71%
"Union County, Indiana","6,966","2,172",557,31.18%,8.00%,"3,880",564,55.70%,8.10%,914,458,13.12%,6.57%
"Palo Alto County, Iowa","8,715","3,883",557,44.56%,6.39%,"3,375",568,38.73%,6.52%,"1,457",465,16.72%,5.34%
"Monroe County, Missouri","8,690","3,075",557,35.39%,6.41%,"3,632",569,41.80%,6.55%,"1,983",466,22.82%,5.36%
"Washakie County, Wyoming","7,647","2,654",557,34.71%,7.28%,"2,875",606,37.60%,7.92%,"2,118",499,27.70%,6.53%
"Rio Blanco County, Colorado","6,389","2,375",556,37.17%,8.70%,"2,532",597,39.63%,9.34%,"1,482",475,23.20%,7.43%
"Kearney County, Nebraska","6,768","2,728",555,40.31%,8.20%,"3,122",562,46.13%,8.30%,918,444,13.56%,6.56%
"Lewis County, Missouri","9,007","3,422",554,37.99%,6.15%,"3,522",558,39.10%,6.20%,"2,063",447,22.90%,4.96%
"Craig County, Virginia","4,843","1,295",553,26.74%,11.42%,"2,262",580,46.71%,11.98%,"1,286",485,26.55%,10.01%
"Webster County, West Virginia","8,045","2,143",552,26.64%,6.86%,"2,924",581,36.35%,7.22%,"2,978",494,37.02%,6.14%
"Modoc County, California","8,498","2,036",551,23.96%,6.48%,"4,307",636,50.68%,7.48%,"2,155",550,25.36%,6.47%
"Hickory County, Missouri","8,716","2,471",551,28.35%,6.32%,"3,819",577,43.82%,6.62%,"2,426",498,27.83%,5.71%
"Cleveland County, Arkansas","7,378","1,906",550,25.83%,7.45%,"3,180",600,43.10%,8.13%,"2,292",519,31.07%,7.03%
"Madison County, Montana","9,521","3,142",550,33.00%,5.78%,"4,596",599,48.27%,6.29%,"1,783",499,18.73%,5.24%
"Nowata County, Oklahoma","9,434","2,381",550,25.24%,5.83%,"4,204",611,44.56%,6.48%,"2,849",535,30.20%,5.67%
"Mitchell County, Texas","6,931","1,579",550,22.78%,7.94%,"3,558",632,51.33%,9.12%,"1,794",560,25.88%,8.08%
"Pershing County, Nevada","4,949","1,178",549,23.80%,11.09%,"2,377",599,48.03%,12.10%,"1,394",492,28.17%,9.94%
"Sitka City and Borough, Alaska","8,265","2,303",548,27.86%,6.63%,"4,010",616,48.52%,7.45%,"1,952",515,23.62%,6.23%
"Pope County, Minnesota","11,400","4,407",548,38.66%,4.81%,"4,804",560,42.14%,4.91%,"2,189",459,19.20%,4.03%
"Menifee County, Kentucky","6,286","2,403",547,38.23%,8.70%,"2,498",571,39.74%,9.08%,"1,385",488,22.03%,7.76%
"Pleasants County, West Virginia","6,742","2,569",547,38.10%,8.11%,"2,339",569,34.69%,8.44%,"1,834",472,27.20%,7.00%
"Sac County, Iowa","9,679","4,290",546,44.32%,5.64%,"3,769",557,38.94%,5.75%,"1,620",457,16.74%,4.72%
"Ritchie County, West Virginia","8,167","3,235",546,39.61%,6.69%,"3,098",574,37.93%,7.03%,"1,834",482,22.46%,5.90%
"Lafayette County, Florida","7,272","1,987",545,27.32%,7.49%,"3,593",582,49.41%,8.00%,"1,692",506,23.27%,6.96%
"Jackson County, Minnesota","9,919","4,287",545,43.22%,5.49%,"3,871",556,39.03%,5.61%,"1,761",448,17.75%,4.52%
"McLean County, North Dakota","9,813","3,597",545,36.66%,5.55%,"4,415",567,44.99%,5.78%,"1,801",481,18.35%,4.90%
"Sussex County, Virginia","8,715","2,646",545,30.36%,6.25%,"3,704",600,42.50%,6.88%,"2,365",547,27.14%,6.28%
"Perry County, Alabama","7,546","1,541",543,20.42%,7.20%,"3,008",619,39.86%,8.20%,"2,997",596,39.72%,7.90%
"Cloud County, Kansas","8,531","3,488",541,40.89%,6.34%,"3,215",549,37.69%,6.44%,"1,828",446,21.43%,5.23%
"Madison Parish, Louisiana","8,566","1,588",541,18.54%,6.32%,"3,587",647,41.87%,7.55%,"3,391",619,39.59%,7.23%
"Iron County, Missouri","9,429","2,926",541,31.03%,5.74%,"4,172",548,44.25%,5.81%,"2,331",449,24.72%,4.76%
"Keokuk County, Iowa","9,913","3,890",540,39.24%,5.45%,"4,165",546,42.02%,5.51%,"1,858",434,18.74%,4.38%
"San Augustine County, Texas","7,833","1,487",540,18.98%,6.89%,"3,661",621,46.74%,7.93%,"2,685",573,34.28%,7.32%
"Ohio County, Indiana","6,004","2,234",539,37.21%,8.98%,"2,606",547,43.40%,9.11%,"1,164",446,19.39%,7.43%
"Brooks County, Texas","6,432","1,171",539,18.21%,8.38%,"3,192",686,49.63%,10.67%,"2,069",637,32.17%,9.90%
"Newton County, Arkansas","7,064","2,090",537,29.59%,7.60%,"2,532",598,35.84%,8.47%,"2,442",531,34.57%,7.52%
"North Slope Borough, Alaska","10,570","1,419",536,13.42%,5.07%,"6,637",634,62.79%,6.00%,"2,514",546,23.78%,5.17%
"Gilpin County, Colorado","5,896","1,988",536,33.72%,9.09%,"2,802",569,47.52%,9.65%,"1,106",449,18.76%,7.62%
"Harrison County, Missouri","8,209","2,595",535,31.61%,6.52%,"3,454",543,42.08%,6.61%,"2,160",436,26.31%,5.31%
"Southeast Fairbanks Census Area, Alaska","7,077","1,582",534,22.35%,7.55%,"3,347",587,47.29%,8.29%,"2,148",465,30.35%,6.57%
"Boise County, Idaho","8,517","2,410",534,28.30%,6.27%,"4,338",582,50.93%,6.83%,"1,769",479,20.77%,5.62%
"Mackinac County, Michigan","10,839","2,962",533,27.33%,4.92%,"4,807",570,44.35%,5.26%,"3,070",506,28.32%,4.67%
"Daviess County, Missouri","8,463","2,676",533,31.62%,6.30%,"3,573",538,42.22%,6.36%,"2,214",421,26.16%,4.97%
"Washita County, Oklahoma","10,704","3,244",533,30.31%,4.98%,"4,369",585,40.82%,5.47%,"3,091",499,28.88%,4.66%
"Conejos County, Colorado","7,513","1,852",532,24.65%,7.08%,"3,494",594,46.51%,7.91%,"2,167",509,28.84%,6.77%
"Latimer County, Oklahoma","9,383","1,753",532,18.68%,5.67%,"4,585",594,48.86%,6.33%,"3,045",522,32.45%,5.56%
"Kit Carson County, Colorado","6,977","2,271",531,32.55%,7.61%,"3,201",574,45.88%,8.23%,"1,505",462,21.57%,6.62%
"Red River Parish, Louisiana","7,290","1,572",531,21.56%,7.28%,"3,131",601,42.95%,8.24%,"2,587",548,35.49%,7.52%
"Chicot County, Arkansas","8,904","1,923",530,21.60%,5.95%,"4,144",628,46.54%,7.05%,"2,837",594,31.86%,6.67%
"Clearwater County, Idaho","8,575","2,036",530,23.74%,6.18%,"4,164",585,48.56%,6.82%,"2,375",496,27.70%,5.78%
"Sherman County, Kansas","5,684","2,121",530,37.32%,9.32%,"2,465",544,43.37%,9.57%,"1,098",440,19.32%,7.74%
"Pipestone County, Minnesota","9,245","3,537",530,38.26%,5.73%,"4,091",543,44.25%,5.87%,"1,617",443,17.49%,4.79%
"Dade County, Missouri","7,698","2,388",528,31.02%,6.86%,"3,416",537,44.38%,6.98%,"1,894",443,24.60%,5.75%
"Cedar County, Nebraska","8,255","3,655",528,44.28%,6.40%,"3,089",535,37.42%,6.48%,"1,511",427,18.30%,5.17%
"Jefferson County, Nebraska","7,053","3,016",528,42.76%,7.49%,"2,534",542,35.93%,7.68%,"1,503",446,21.31%,6.32%
"Pushmataha County, Oklahoma","10,750","2,028",528,18.87%,4.91%,"5,300",588,49.30%,5.47%,"3,422",515,31.83%,4.79%
"Grand Isle County, Vermont","7,467","2,894",528,38.76%,7.07%,"3,468",541,46.44%,7.25%,"1,105",416,14.80%,5.57%
"Okfuskee County, Oklahoma","10,440","1,975",527,18.92%,5.05%,"5,030",593,48.18%,5.68%,"3,435",529,32.90%,5.07%
"Charles Mix County, South Dakota","9,184","2,879",527,31.35%,5.74%,"4,086",572,44.49%,6.23%,"2,219",502,24.16%,5.47%
"Montgomery County, Georgia","8,063","2,204",525,27.33%,6.51%,"3,679",558,45.63%,6.92%,"2,180",475,27.04%,5.89%
"Franklin County, Mississippi","7,605","2,046",525,26.90%,6.90%,"3,106",568,40.84%,7.47%,"2,453",520,32.26%,6.84%
"Caldwell County, Missouri","8,836","3,304",525,37.39%,5.94%,"3,394",529,38.41%,5.99%,"2,138",419,24.20%,4.74%
"Goliad County, Texas","7,131","1,248",525,17.50%,7.36%,"4,044",607,56.71%,8.51%,"1,839",547,25.79%,7.67%
"Castro County, Texas","7,198","1,311",524,18.21%,7.28%,"3,911",641,54.33%,8.91%,"1,976",579,27.45%,8.04%
"King and Queen County, Virginia","6,720","2,265",524,33.71%,7.80%,"2,487",564,37.01%,8.39%,"1,968",497,29.29%,7.40%
"Weston County, Wyoming","6,312","1,971",524,31.23%,8.30%,"3,096",565,49.05%,8.95%,"1,245",461,19.72%,7.30%
"Stevens County, Minnesota","9,130","3,885",523,42.55%,5.73%,"4,030",532,44.14%,5.83%,"1,215",418,13.31%,4.58%
"Gilmer County, West Virginia","5,666","1,580",523,27.89%,9.23%,"2,968",547,52.38%,9.65%,"1,118",458,19.73%,8.08%
"Huerfano County, Colorado","7,042","1,799",522,25.55%,7.41%,"3,198",596,45.41%,8.46%,"2,045",525,29.04%,7.46%
"Kingman County, Kansas","7,047","2,744",522,38.94%,7.41%,"2,759",527,39.15%,7.48%,"1,544",415,21.91%,5.89%
"Wilkinson County, Mississippi","7,167","1,311",522,18.29%,7.28%,"2,729",591,38.08%,8.25%,"3,127",566,43.63%,7.90%
"Saguache County, Colorado","6,676","1,399",520,20.96%,7.79%,"3,677",584,55.08%,8.75%,"1,600",500,23.97%,7.49%
"Coffey County, Kansas","8,245","3,208",520,38.91%,6.31%,"2,795",529,33.90%,6.42%,"2,242",427,27.19%,5.18%
"Caribou County, Idaho","7,184","2,693",519,37.49%,7.22%,"3,183",547,44.31%,7.61%,"1,308",418,18.21%,5.82%
"Schuyler County, Illinois","6,728","2,246",519,33.38%,7.71%,"2,714",532,40.34%,7.91%,"1,768",450,26.28%,6.69%
"Monona County, Iowa","8,484","3,513",519,41.41%,6.12%,"3,188",530,37.58%,6.25%,"1,783",436,21.02%,5.14%
"Surry County, Virginia","6,593","2,479",519,37.60%,7.87%,"2,569",566,38.97%,8.58%,"1,545",509,23.43%,7.72%
"Lee County, Kentucky","6,284","1,911",518,30.41%,8.24%,"2,754",541,43.83%,8.61%,"1,619",470,25.76%,7.48%
"Tyler County, West Virginia","7,919","1,869",518,23.60%,6.54%,"3,453",544,43.60%,6.87%,"2,597",460,32.79%,5.81%
"Searcy County, Arkansas","7,794","2,134",516,27.38%,6.62%,"3,429",567,44.00%,7.27%,"2,231",492,28.62%,6.31%
"Benton County, Mississippi","7,428","2,150",516,28.94%,6.95%,"2,818",559,37.94%,7.53%,"2,460",511,33.12%,6.88%
"Chattahoochee County, Georgia","8,661","1,882",514,21.73%,5.93%,"5,756",551,66.46%,6.36%,"1,023",410,11.81%,4.73%
"Van Buren County, Tennessee","6,493","2,164",514,33.33%,7.92%,"3,015",542,46.43%,8.35%,"1,314",474,20.24%,7.30%
"Covington city, Virginia","5,477","1,723",514,31.46%,9.38%,"2,516",541,45.94%,9.88%,"1,238",453,22.60%,8.27%
"Merrick County, Nebraska","7,730","2,732",513,35.34%,6.64%,"3,437",520,44.46%,6.73%,"1,561",415,20.19%,5.37%
"Montmorency County, Michigan","9,673","2,222",512,22.97%,5.29%,"4,424",541,45.74%,5.59%,"3,027",473,31.29%,4.89%
"Calhoun County, Iowa","9,267","3,715",511,40.09%,5.51%,"3,482",520,37.57%,5.61%,"2,070",426,22.34%,4.60%
"Calhoun County, West Virginia","5,959","1,364",510,22.89%,8.56%,"2,988",537,50.14%,9.01%,"1,607",452,26.97%,7.59%
"Humphreys County, Mississippi","7,195","1,477",509,20.53%,7.07%,"2,889",581,40.15%,8.08%,"2,829",555,39.32%,7.71%
"Taylor County, Georgia","7,697","2,191",508,28.47%,6.60%,"3,001",548,38.99%,7.12%,"2,505",484,32.55%,6.29%
"Cumberland County, Kentucky","6,000","1,851",506,30.85%,8.43%,"2,051",536,34.18%,8.93%,"2,098",473,34.97%,7.88%
"Powell County, Montana","5,499","1,922",506,34.95%,9.20%,"2,225",549,40.46%,9.98%,"1,352",452,24.59%,8.22%
"Emporia city, Virginia","5,463","1,336",506,24.46%,9.26%,"2,738",572,50.12%,10.47%,"1,389",529,25.43%,9.68%
"Ballard County, Kentucky","7,523","2,370",502,31.50%,6.67%,"3,382",528,44.96%,7.02%,"1,771",461,23.54%,6.13%
"Stevens County, Kansas","5,072","1,544",500,30.44%,9.86%,"1,984",523,39.12%,10.31%,"1,544",424,30.44%,8.36%
